timestamp,username,src_ip,action,auth_method,geo,device
2026-08-17T13:42:00,a.green,10.10.20.21,success,MFA,US-NC,WS-117
2026-08-17T13:50:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-135
2026-08-17T13:57:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-112
2026-08-17T14:46:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-138
2026-08-17T14:52:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-104
2026-08-17T14:59:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-126
2026-08-17T15:11:00,a.green,10.10.20.21,success,MFA,US-NC,WS-113
2026-08-17T15:20:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-104
2026-08-17T15:22:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-104
2026-08-17T15:34:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-123
2026-08-17T15:37:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-112
2026-08-17T15:49:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-113
2026-08-17T16:59:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-128
2026-08-17T17:00:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-128
2026-08-17T17:03:00,a.green,10.10.20.21,success,MFA,US-NC,WS-137
2026-08-17T17:08:00,svc_reports,10.10.30.12,success,service,US-NC,WS-109
2026-08-17T17:19:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-125
2026-08-17T17:34:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-135
2026-08-17T17:36:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-124
2026-08-18T08:09:00,svc_reports,10.10.30.12,success,service,US-NC,WS-125
2026-08-18T08:18:00,a.green,10.10.20.21,success,MFA,US-NC,WS-112
2026-08-18T08:23:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-118
2026-08-18T08:33:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-114
2026-08-18T08:39:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-116
2026-08-18T08:58:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-102
2026-08-18T09:02:00,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:02:18,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:02:36,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:02:54,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:03:12,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:03:30,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:03:48,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:04:06,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:04:24,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:04:42,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:05:00,a.green,10.10.20.21,success,MFA,US-NC,WS-122
2026-08-18T09:05:00,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:05:18,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:05:36,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:05:54,j.smith,203.0.113.44,failure,password,US-VA,unknown
2026-08-18T09:07:12,j.smith,203.0.113.44,success,password,US-VA,unknown
2026-08-18T09:09:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-112
2026-08-18T09:18:00,a.green,10.10.20.21,success,MFA,US-NC,WS-113
2026-08-18T09:39:00,a.green,10.10.20.21,success,MFA,US-NC,WS-111
2026-08-18T09:39:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-138
2026-08-18T09:49:00,svc_reports,10.10.30.12,success,service,US-NC,WS-112
2026-08-18T10:02:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-132
2026-08-18T10:23:00,svc_reports,10.10.30.12,success,service,US-NC,WS-123
2026-08-18T10:31:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-138
2026-08-18T11:01:00,a.green,10.10.20.21,success,MFA,US-NC,WS-103
2026-08-18T11:02:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-121
2026-08-18T11:15:00,j.smith,198.51.100.33,failure,password,US-NY,unknown
2026-08-18T11:15:25,a.green,198.51.100.33,failure,password,US-NY,unknown
2026-08-18T11:15:50,m.turner,198.51.100.33,failure,password,US-NY,unknown
2026-08-18T11:16:15,r.brown,198.51.100.33,failure,password,US-NY,unknown
2026-08-18T11:16:40,l.wilson,198.51.100.33,failure,password,US-NY,unknown
2026-08-18T11:28:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-132
2026-08-18T11:32:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-126
2026-08-18T11:40:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-129
2026-08-18T11:41:00,a.green,10.10.20.21,success,MFA,US-NC,WS-135
2026-08-18T11:56:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-108
2026-08-18T11:58:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-129
2026-08-18T12:19:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-116
2026-08-18T12:21:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-132
2026-08-18T12:25:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-108
2026-08-18T12:32:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-105
2026-08-18T12:43:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-101
2026-08-18T12:46:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-103
2026-08-18T12:51:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-131
2026-08-18T13:50:00,svc_reports,10.10.30.12,success,service,US-NC,WS-117
2026-08-18T13:52:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-108
2026-08-18T14:00:00,a.green,10.10.20.21,success,MFA,US-NC,WS-108
2026-08-18T14:02:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-108
2026-08-18T14:26:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-140
2026-08-18T14:31:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-104
2026-08-18T15:00:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-108
2026-08-18T15:09:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-130
2026-08-18T15:24:00,a.green,10.10.20.21,success,MFA,US-NC,WS-118
2026-08-18T15:51:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-103
2026-08-18T16:01:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-140
2026-08-18T16:07:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-105
2026-08-18T16:18:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-102
2026-08-18T16:30:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-111
2026-08-18T16:32:00,a.green,10.10.20.21,success,MFA,US-NC,WS-123
2026-08-18T16:56:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-109
2026-08-18T16:57:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-112
2026-08-18T17:07:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-128
2026-08-18T17:24:00,svc_reports,10.10.30.12,success,service,US-NC,WS-124
2026-08-18T17:39:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-111
2026-08-19T08:00:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-134
2026-08-19T08:24:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-121
2026-08-19T08:51:00,a.green,10.10.20.21,success,MFA,US-NC,WS-125
2026-08-19T08:52:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-105
2026-08-19T08:53:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-115
2026-08-19T08:55:00,a.green,10.10.20.21,success,MFA,US-NC,WS-134
2026-08-19T08:58:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-108
2026-08-19T09:08:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-112
2026-08-19T09:19:00,a.green,10.10.20.21,success,MFA,US-NC,WS-125
2026-08-19T09:40:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-137
2026-08-19T09:55:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-107
2026-08-19T09:56:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-133
2026-08-19T10:11:00,svc_reports,10.10.30.12,success,service,US-NC,WS-116
2026-08-19T10:19:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-135
2026-08-19T10:45:00,a.green,10.10.20.21,success,MFA,US-NC,WS-106
2026-08-19T10:59:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-111
2026-08-19T11:15:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-132
2026-08-19T11:21:00,a.green,10.10.20.21,success,MFA,US-NC,WS-136
2026-08-19T11:42:00,svc_reports,10.10.30.12,success,service,US-NC,WS-106
2026-08-19T11:52:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-140
2026-08-19T12:00:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-135
2026-08-19T12:04:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-116
2026-08-19T12:23:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-133
2026-08-19T12:25:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-118
2026-08-19T12:29:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-113
2026-08-19T12:45:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-133
2026-08-19T12:48:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-101
2026-08-19T13:10:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-121
2026-08-19T13:20:00,a.green,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:20:12,a.green,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:20:24,a.green,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:21:00,m.turner,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:21:12,m.turner,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:21:24,m.turner,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:22:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-120
2026-08-19T13:22:00,r.brown,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:22:12,r.brown,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:22:24,r.brown,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:23:00,l.wilson,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:23:12,l.wilson,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:23:24,l.wilson,192.0.2.77,failure,password,US-CA,unknown
2026-08-19T13:24:30,a.green,192.0.2.77,success,password,US-CA,unknown
2026-08-19T13:28:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-102
2026-08-19T13:40:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-121
2026-08-19T13:46:00,a.green,10.10.20.21,success,MFA,US-NC,WS-116
2026-08-19T13:56:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-133
2026-08-19T14:02:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-109
2026-08-19T14:10:00,a.green,10.10.20.21,success,MFA,US-NC,WS-139
2026-08-19T14:23:00,svc_reports,10.10.30.12,success,service,US-NC,WS-103
2026-08-19T14:53:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-120
2026-08-19T14:55:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-122
2026-08-19T15:01:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-137
2026-08-19T15:04:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-126
2026-08-19T15:10:00,m.turner,10.10.20.34,success,MFA,US-NC,WS-123
2026-08-19T15:35:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-122
2026-08-19T15:42:00,m.turner,203.0.113.89,success,password,DE-BE,unknown
2026-08-19T15:55:00,svc_reports,10.10.30.12,success,service,US-NC,WS-118
2026-08-19T16:08:00,l.wilson,10.10.20.52,success,MFA,US-NC,WS-119
2026-08-19T16:27:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-132
2026-08-19T16:44:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-121
2026-08-19T16:46:00,svc_reports,10.10.30.12,success,service,US-NC,WS-135
2026-08-19T16:57:00,a.green,10.10.20.21,success,MFA,US-NC,WS-110
2026-08-19T16:58:00,j.smith,10.10.20.15,success,MFA,US-NC,WS-111
2026-08-19T16:58:00,r.brown,10.10.20.41,success,MFA,US-NC,WS-136
2026-08-19T16:59:00,a.green,10.10.20.21,success,MFA,US-NC,WS-113
